Text,Label
"You've been specially selected",1
"Are you attending the seminar?",0
"Claim your reward before it expires",1
"Confirm your subscription now",1
"Looking forward to our call",0
"Earn extra cash from home",1
"Let's meet in the lobby",0
"Congratulations! You won a new car",1
"Please send me the contract",0
"Limited time: No interest loans",1
"Project status update needed",0
"Get exclusive savings on your next purchase",1
"Are you free this afternoon?",0
"Dear winner, your prize is waiting",1
"Can you fix this bug?",0
"Your account requires immediate attention",1
"Let's go for a walk",0
"Special offer: First month free",1
"Team dinner tonight?",0
"Win a free laptop today",1
"Please approve the request",0
"Act now for instant cashback",1
"Send me your feedback",0
"Congratulations! New offer unlocked",1
"Let's discuss this in person",0
"Instant cash transfer to your account!",1
"Let's meet at the coffee shop",0
"Special promotion: Save 70% today",1
"Your appointment is confirmed",0
"Get approved for a credit card now",1
"Can you send me the slides?",0
"Act now to double your savings",1
"Happy anniversary!",0
"Exclusive deal: Buy one get one free",1
"Are you coming to the game?",0
"Congratulations! Winner selected",1
"Check out this funny video",0
"Dear user, your account needs verification",1
"Please call me when you arrive",0
"Limited time: Free trial available",1
"Let's start the project next week",0
"100% guaranteed weight loss pills",1
"Thanks for your feedback",0
"Secret investment opportunity revealed",1
"Do you want to join us for dinner?",0
"Your account has been compromised",1
"Looking forward to your reply",0
"Final notice: Claim your reward",1
"Let's go hiking this weekend",0
"Your tax refund is ready",1
"Bring your laptop tomorrow",0
"Unlock exclusive benefits now",1
"Meeting moved to 11am",0
"Don't miss out on huge savings",1
"Congrats on your promotion!",0
"Get your free sample today",1
"See attached invoice",0
"Win big with our lottery",1
"Family reunion this Sunday",0
"Click here to activate your bonus",1
"Check the latest updates",0
"Lowest mortgage rates ever!",1
"Join the call at 3pm",0
"Congratulations, you qualify for a free upgrade",1
"Review the attached report",0
"Save money with our new offer",1
"Let's have a video chat",0
"Earn $1000 a day from home",1
"Please confirm your attendance",0
"Winner! Your gift awaits",1
"Did you finish the assignment?",0
"Update your password immediately",1
"Thanks for the reminder",0
"Special access to premium content",1
"Are you available for a quick call?",0
"Claim your exclusive VIP membership now",1
"Let's grab lunch tomorrow",0
"Special reward waiting for you",1
"See you at the meeting",0
"Congratulations! You are a finalist",1
"Are you coming to the office today?",0
"Act now! Free trial ends soon",1
"Happy holidays!",0
"Gift card inside just for you",1
"Can you send the minutes of the meeting?",0
"You have been chosen for a special offer",1
"Don't forget your umbrella",0
"Final warning: Account closure imminent",1
"Can we discuss this later?",0
"Free coupon with your name on it",1
"Join us for the webinar",0
"Get your instant loan approval",1
"Let's review the budget",0
"Congratulations! You've earned a gift",1
"Can you help me with this task?",0
"Exclusive: Unlock your cash bonus",1
"Meeting postponed to next week",0
"Get paid instantly with our service",1
"See you at the airport",0
"Your account is eligible for a free upgrade",1
"Looking forward to your presentation",0
"Special deal: Buy now, pay later",1
"Remember to bring your ID",0
"Unlock your free credit score",1
"See you at the conference",0
"Dear customer, claim your free insurance",1
"Happy to help with your request",0
"Congratulations! Special invitation inside",1
"Let me know your availability",0
"Free tickets to the concert for you",1
"Please review the schedule",0
"Act fast: Limited supply available",1
"Can you share the report?",0
"Double your followers overnight",1
"Meeting link enclosed",0
"Special access code inside",1
"Thanks for the update",0
"Unlock your unlimited streaming",1
"Join the brainstorming session",0
"Congratulations! Claim your cash reward",1
"Let's finish the project today",0
"Lowest fares guaranteed",1
"Team call at 10am",0
"Get your free e-book download",1
"Check your calendar for updates",0
"Congratulations! You've received a free store credit",1
"Let's catch up before the weekend",0
"Claim your special rewards package",1
"Are you attending the training?",0
"Exclusive: Free upgrade for early birds",1
"Please send me your feedback",0
"Act now: Free access to our app",1
"Don't forget to sign in",0
"Win a luxury car with this offer",1
"See you at the client meeting",0
"Congratulations! You have a free balance",1
"Let me know if you need assistance",0
"Special bonus: Redeem your points today",1
"Can you make it to the presentation?",0
"Unlock your instant free trial",1
"Check your schedule for next week",0
"Final chance: No-cost rewards inside",1
"Let's review the project timeline",0
"Get a free coffee on us",1
"Please upload the latest files",0
"Congratulations! Free shopping voucher awarded",1
"Are you joining us for lunch?",0
"Claim your no-fee membership card",1
"Team sync today at 3pm",0
"Unlock special features now",1
"Don't forget to share your notes",0
"Win a year of premium access",1
"Send me your availability for tomorrow",0
"Special invitation: Free event tickets",1
"See you in the meeting room",0
"Congratulations! You qualify for instant rewards",1
"Please confirm your participation",0
"Unlock your free wellness package",1
"Can you review the checklist?",0
"Claim your exclusive travel offer",1
"Let's discuss the plan in detail",0
"Act now for a free surprise box",1
"Don't forget to check your calendar",0
"Win prizes by clicking here",1
"Please respond with your decision",0
"Congratulations! Free streaming credits for you",1
"Can you send the summary?",0
"Special deal: Free device warranty",1
"Let's finalize the arrangements",0
"Claim your free bonus pack",1
"Are you available for a quick chat?",0
"Unlock discounts with your free code",1
"See you at the next appointment",0
"Congratulations! Your account qualifies for a gift",1
"Please provide your confirmation",0
"Congratulations! Your free cash reward is waiting",1
"Let's go over the checklist tomorrow",0
"Claim your no-cost bonus today",1
"Can you send the final draft?",0
"Special offer: Free headphones with purchase",1
"Are you joining the review session?",0
"Unlock your exclusive rewards instantly",1
"Let me know when you're available",0
"Win a free weekend getaway",1
"See you at the team lunch",0
"Congratulations! You qualify for premium access",1
"Send your comments on the proposal",0
"Act now to receive your free samples",1
"Please check the updated schedule",0
"Get paid for your opinion",1
"Join us at the next event",0
"Exclusive: Free trial for 30 days",1
"Don't forget to RSVP",0
"Claim your complimentary upgrade",1
"Status update needed by EOD",0
"Congratulations! Instant approval for loan",1
"Can you take over this task?",0
"Unlock special discounts today",1
"Let's review the next steps",0
"Free entry to members-only contest",1
"Please prepare the meeting notes",0
"Special invitation: Free webinar access",1
"Send me your preferred dates",0
"Win exclusive gadgets now",1
"Are you able to join the call?",0
"Congratulations! You have a free subscription",1
"Let me know your thoughts",0
"Act fast: Free trial ending soon",1
"Thanks for coordinating",0
"Get your free business consultation",1
"Can you check the email draft?",0
"Unlock bonus rewards for referrals",1
"See you at our next session",0
"Special deal: Free delivery today",1
"Don't forget the budget review",0
"Congratulations! Extra benefits unlocked",1
"Please follow up on the request",0
"Win a shopping voucher for free",1
"Let's meet at the usual spot",0
"Exclusive: No-cost upgrade for you",1
"Send the slides when ready",0
"Claim your instant promo code",1
"Thanks for your input",0
"Congratulations! Zero-fee membership",1
"Are you coming to the brainstorm?",0
"Get your free travel voucher now",1
"Are you joining the team call?",0
"Special bonus just for you",1
"Let me know if you need any help",0
"Congratulations! You have a new reward",1
"Let's catch up over dinner",0
"Unlock your free online course",1
"Did you review the document?",0
"Click here to win amazing prizes",1
"See you at the workshop",0
"Limited offer: Act fast to get your gift",1
"Can you send me the agenda?",0
"Dear user, you have been selected",1
"Let's coordinate on the project",0
"Win a dream vacation for free",1
"Thanks for your quick response",0
"Exclusive invitation for special members",1
"Let's have a coffee this afternoon",0
"Your account has been flagged",1
"Check in when you arrive",0
"Get rich today with minimal effort",1
"Are you attending the event tonight?",0
"Congratulations! You’ve received a credit",1
"Please share the latest updates",0
"Claim your free trial subscription",1
"Send me your thoughts on this",0
"Special alert: Free money waiting",1
"Can you help with the planning?",0
"Urgent: Suspicious activity detected",1
"Let's finish our work before lunch",0
"Exclusive: Win a shopping spree",1
"Review the changes and let me know",0
"Guaranteed approval for your application",1
"Are you free for a meeting now?",0
"Unlock your cash rebate now",1
"See you at the match",0
"Congratulations! You qualify for a bonus",1
"Update me on your progress",0
"Act fast: Only a few left in stock",1
"Let's review the timeline",0
"Special promo: Free upgrade for you",1
"Did you complete the form?",0
"Win an iPad – just click here",1
"Let’s schedule a call",0
"Open immediately: Free gift inside",1
"Can you send the photos?",0
"Congratulations! You have been shortlisted",1
"Remind me to send the files",0
"Free download just for you",1
"Let's touch base tomorrow",0
"Congratulations! You're entitled to a free upgrade",1
"Let's review the project plan",0
"Claim your free movie tickets now",1
"Are you coming to the strategy session?",0
"Special offer: Unlock your bonus immediately",1
"Please let me know your decision",0
"Get your free online subscription",1
"See you at the office tomorrow",0
"Win a luxury watch instantly",1
"Can you send the updated timeline?",0
"Exclusive: Free access for new users",1
"Let me know if you need clarification",0
"Congratulations! You've been selected for free rewards",1
"Join us for the quarterly meeting",0
"Limited time: Free delivery for you",1
"Please review the attached checklist",0
"Claim your instant cashback today",1
"Are you able to work on this task?",0
"Special invitation: Free conference pass",1
"Don't forget to update your status",0
"Win a shopping spree worth $1000",1
"Can you prepare the agenda?",0
"Congratulations! Your free trial starts now",1
"Let's go over your feedback",0
"Unlock free premium features",1
"Send your RSVP for the event",0
"Exclusive: No-cost bonus for members",1
"Please check the shared folder",0
"Act now: Free consultation available",1
"Let me know your preferred date",0
"Congratulations! Free account credit loaded",1
"Are you attending the next workshop?",0
"Win exclusive merchandise today",1
"Please send the performance report",0
"Claim your free welcome gift",1
"Let's finalize the project scope",0
"Special reward: Click to claim",1
"Don't forget your deadline",0
"Congratulations! Special member offer inside",1
"Share your notes before the meeting",0
"Unlock your instant bonus now",1
"Can you coordinate with the team?",0
"Limited offer: Free upgrade for loyal users",1
"Please provide your input",0
"Exclusive: Win an adventure trip",1
"Let's plan the next steps",0
"Congratulations! You have a bonus credit",1
"Send the checklist when ready",0
"Claim your free ebook today",1
"See you at the weekly review",0
"Congratulations! You've unlocked a platinum reward",1
"Let's align on the project goals",0
"Claim your free bonus points now",1
"Can you join the quick sync?",0
"Special promotion: Limited time only",1
"Update the team when possible",0
"Win a brand new smartphone today",1
"Are you going to the client meeting?",0
"Unlock exclusive member benefits",1
"Send me the list of participants",0
"Congratulations! Your free e-book is ready",1
"Please check the attached invoice",0
"Act now for free gift vouchers",1
"Looking forward to the offsite",0
"Get rich with this simple method",1
"Let's schedule a follow-up",0
"Exclusive access: Free entry granted",1
"Can you provide the project summary?",0
"Claim your instant cashback deal",1
"Don't forget the morning standup",0
"Special offer: Free smartwatch",1
"See you at the next review",0
"Congratulations! You're a grand prize winner",1
"Please review the attached slides",0
"Unlock your free premium trial",1
"Are you available for a catch-up call?",0
"Final chance: Free rewards inside",1
"Let me know if you have questions",0
"Win an all-expenses-paid trip",1
"Can you send the latest version?",0
"Special alert: Immediate bonus for you",1
"Thank you for your assistance",0
"Congratulations! You've qualified for a free service",1
"Let's review last week's notes",0
"Get your complimentary gift now",1
"Please update the project board",0
"Act fast: Free product samples",1
"Join us for the planning meeting",0
"Claim your no-cost insurance",1
"Check the minutes from the last meeting",0
"Unlock your surprise reward",1
"Are you free for a quick touch base?",0
"Congratulations! Free tickets to the show",1
"Let me know your preferred time",0
"Special coupon: Redeem your gift",1
"Join the team sync at 11am",0
"Win exclusive prizes instantly",1
"Confirm your attendance for tomorrow",0
"Get free access to our newsletter",1
"Please finalize the document",0
"Congratulations! You've been awarded a free cruise trip",1
"Let's meet to discuss next week's schedule",0
"Claim your bonus cash instantly",1
"Can you finish the documentation update?",0
"Special invitation: Join our VIP club for free",1
"Don't forget to check your email for updates",0
"Exclusive: Win a home theater system",1
"Please send the invoice as soon as possible",0
"Unlock your free subscription today",1
"Are you able to attend the planning session?",0
"Win a year of free groceries",1
"Can you review the attached proposal?",0
"Congratulations! Your free trial has been activated",1
"Let's sync up after the call",0
"Act now for exclusive perks",1
"Please provide the latest project status",0
"Free bonus: Earn rewards for referrals",1
"Team standup at 9:30am",0
"Claim your instant VIP membership",1
"Let me know your availability for review",0
"Special offer: Free internet for 3 months",1
"Did you receive my last message?",0
"Congratulations! You've won a shopping voucher",1
"Can you coordinate with the design team?",0
"Unlock extra benefits this week",1
"Let's go over the sprint plan",0
"Win a free laptop – act now",1
"Please check the action items",0
"Exclusive: Free e-learning resources",1
"Don't forget to send the summary",0
"Congratulations! Your account has a bonus balance",1
"Are you coming to the team lunch?",0
"Claim your reward before it expires",1
"Send me your comments on the draft",0
"Get a free upgrade with this code",1
"Please update the checklist",0
"Special bonus: Free streaming subscription",1
"Let me know if you have any questions",0
"Win instant cash rewards",1
"Check your inbox for more information",0
"Congratulations! Free gas card awarded",1
"Can you confirm the meeting time?",0
"Unlock your exclusive welcome package",1
"Let's finalize the resource allocation",0
"Claim your free trial membership",1
"Don't forget to submit your report",0
"Special deal: Free home delivery",1
"Please share your project outline",0
"Congratulations! Your free account is ready",1
"Team catch-up at 11am",0
"Congratulations! Free hotel stay awarded",1
"Let's meet in the conference room",0
"Exclusive offer: Double your points",1
"Can you share the presentation?",0
"Claim your free smartphone now",1
"Team check-in at 2pm",0
"Win a trip to Paris today",1
"Please send the updated file",0
"Limited-time: Free shopping spree",1
"Are you attending the session?",0
"Unlock special deals before they expire",1
"Don't forget your lunch",0
"Congratulations! No-cost membership for you",1
"Let me know if you need anything",0
"Special invitation: VIP access granted",1
"See you at the workshop tomorrow",0
"Get instant approval for a new credit card",1
"Send me your availability",0
"Final notice: Free prize inside",1
"Looking forward to the demo",0
"Act now: Free insurance coverage",1
"Can you join the brainstorming meeting?",0
"Claim your bonus in one click",1
"Please confirm your attendance",0
"Congratulations! You're eligible for free gifts",1
"Let's finalize the schedule",0
"Get your free gift card instantly",1
"Don't forget the call at 5pm",0
"Special deal: Free wireless earbuds",1
"See you at the next standup",0
"Limited offer: Win cash prizes",1
"Can you take a look at this?",0
"Congratulations! You've unlocked a new reward",1
"Please send your feedback soon",0
"Win a free cruise for two",1
"Team huddle at 10am",0
"Exclusive bonus: Click to redeem",1
"Are you available for a quick review?",0
"Free access to online courses",1
"Let's meet at reception",0
"Special promo: No cost to you",1
"Did you receive my last email?",0
"Claim your complimentary pass",1
"Thanks for your cooperation",0
"Congratulations! Free streaming for a year",1
"Please update the shared document",0
"Unlock a secret gift today",1
"Let's sync at the end of the day",0
"Win $1000 instantly with this offer",1
"Can you send me the meeting notes?",0
"Congratulations! You have a free cruise waiting",1
"Let's review the checklist together",0
"Get your instant approval now",1
"Please send your availability",0
"Win $500 shopping voucher today",1
"Are you coming to the office party?",0
"Special discount for valued customers",1
"Can you print the documents?",0
"Unlock your free fitness membership",1
"Let's chat after the meeting",0
"Congratulations! Your free trial has started",1
"Please share your travel plans",0
"Claim your instant cashback offer",1
"Are you joining the call later?",0
"Exclusive gift for new subscribers",1
"Let me know if you need support",0
"Important: Action required for your account",1
"Team meeting at 9am",0
"Win an Amazon gift card now",1
"Can you update me on the task?",0
"Special rate just for you",1
"See you at the event",0
"Dear user, confirm your details",1
"Don't forget to check your email",0
"Unlock hidden deals today",1
"Let's go over the agenda",0
"Congratulations! You won a free dinner",1
"Please send the latest report",0
"Limited offer: Free shipping worldwide",1
"Are you available for feedback?",0
"Claim your prize before midnight",1
"Looking forward to your suggestions",0
"Special promo: Double rewards",1
"Project kickoff tomorrow",0
"Win big with our new contest",1
"Please complete the attached form",0
"Get free access to exclusive deals",1
"Let's meet after work",0
"Congratulations! You've earned bonus points",1
"Can you check the timeline?",0
"Instant rewards for new users",1
"Happy to connect with you",0
"Unlock your free digital subscription",1
"Send me your contact details",0
"Act now: Free entry to the sweepstakes",1
"See you at the training session",0
"Congratulations! You've been selected for a reward",1
"Please provide your feedback",0
"Special cash bonus inside",1
"Let's discuss the next steps",0
"Congratulations! You are our lucky winner",1
"Let's go over the project details",0
"Claim your free rewards instantly",1
"Can you review my presentation?",0
"Special offer: No payments for 12 months",1
"Please update the team with your progress",0
"Unlock your exclusive discount code",1
"Are you joining the lunch group?",0
"Free gold membership for a year",1
"Let me know your feedback",0
"Claim your instant prize now",1
"See you at the next meeting",0
"Congratulations! You've received a cash deposit",1
"Don't forget your appointment",0
"Act now for special incentives",1
"Can you check the new design?",0
"Limited time: Free samples available",1
"Project review scheduled for Monday",0
"Get paid for completing surveys",1
"Please prepare the report",0
"Congratulations! Free upgrade available",1
"Are you available to discuss?",0
"Special bonus: Click to activate",1
"Let's meet at the entrance",0
"Unlock cash rewards in minutes",1
"Send me any questions you have",0
"Final reminder: Claim your freebie",1
"Looking forward to our meeting",0
"Instant access to your rewards",1
"Team sync at 4pm",0
"Congratulations! You've been chosen for a special prize",1
"Can you approve the budget?",0
"Free entry in our exclusive draw",1
"Don't forget to bring the documents",0
"Win a luxury holiday for two",1
"Share your thoughts on the draft",0
"Special deal: Extra bonus for you",1
"Please check the latest numbers",0
"Claim your no-cost membership",1
"Let's review the client feedback",0
"Unlock your savings today",1
"Are you joining the group chat?",0
"Congratulations! You qualify for free shipping",1
"Send me the list when ready",0
"Limited time: Win electronics",1
"Team update by end of day",0
"Get your free consultation now",1
"Please confirm your schedule",0
"Earn money with this simple trick",1
"Join us for the weekly meeting",0
"অভিনন্দন! আপনি একটি ফ্রি গিফট জিতেছেন",1
"আপনি কি মিটিংয়ে আসবেন?",0
"আজই বিনামূল্যে পুরস্কার ক্লেইম করুন",1
"আপনার রিপোর্টটি পাঠান",0
"বিশেষ অফার: দ্রুত অ্যাকশন নিন",1
"আমরা দুপুরে দেখা করবো",0
"আপনার জন্য ফ্রি ট্রায়াল",1
"আপনি কি ফাইলটি পেয়েছেন?",0
"এই লিঙ্কে ক্লিক করে পুরস্কার নিন",1
"আগামীকাল দেখা হবে",0
"বিনামূল্যে ক্রেডিট পেতে এখনই সাইন আপ করুন",1
"আপনি কি কোড রিভিউ করতে পারবেন?",0
"আজই বিশেষ ছাড়!",1
"আপনার ফিডব্যাক দিন",0
"অ্যাকাউন্ট আপগ্রেড করুন একদম ফ্রি",1
"আমরা কি কলে যেতে পারি?",0
"নতুন মোবাইল জিতুন, ক্লিক করুন এখানে",1
"আপনার কাজের অগ্রগতি জানান",0
"সীমিত সময়ের জন্য ফ্রি অফার",1
"আপনার সঙ্গে আলোচনা করতে চাই",0
"ফ্রি শিপিং অফার শেষ হচ্ছে",1
"আপনি কি এই টাস্কটি নিতে পারবেন?",0
"বিশেষ বোনাস এখনই ক্লেইম করুন",1
"আমাদের সাথে চা পান করুন",0
"আপনি নির্বাচিত হয়েছেন ফ্রি পুরস্কারের জন্য",1
"পরবর্তী মিটিং কবে?",0
"আজই ইন্সট্যান্ট ক্যাশব্যাক পান",1
"আপনি কি এই সপ্তাহে ফ্রি?",0
"আপনার একাউন্টে সমস্যা হয়েছে",1
"প্রজেক্ট আপডেট শেয়ার করুন",0
"বিনামূল্যে সদস্যতা শুরু করুন",1
"আপনার প্রস্তুতি সম্পন্ন হয়েছে?",0
"ফ্রি ই-লার্নিং কোর্স পান",1
"আমাদের সাথে সংযোগ করুন",0
"নতুন অফার লক হয়েছে, অভিনন্দন!",1
"আপনার মন্তব্য জানান",0
"বিশেষ গিফট বক্স আপনার জন্য",1
"পরবর্তী মিটিংয়ের স্থান কোথায়?",0
"আজই ফ্রি ওয়েবিনার জয়েন করুন",1
"আপনি কি এজেন্ডা তৈরি করেছেন?",0
"অ্যাকশন নিন, নইলে অ্যাকাউন্ট বন্ধ হবে",1
"আপনি কি লাঞ্চে আসছেন?",0
"ফ্রি ক্রেডিট সীমিত সময়ের জন্য",1
"আপনার শিডিউল পাঠান",0
"জিতুন একটি নতুন ল্যাপটপ",1
"আপনার মতামত দিন",0
"আজই ফ্রি মেম্বারশিপ পেতে ক্লিক করুন",1
"পরবর্তী সপ্তাহে দেখা হবে",0
"নতুন বোনাস পেতে এখনই রেজিস্টার করুন",1
"আপনি কি প্রস্তুত?",0
"অভিনন্দন! আপনি ফ্রি ছাড় পেয়েছেন",1
"আপনি কি আজ অনুশীলনে আসবেন?",0
"এখনই ক্লিক করুন এবং পুরস্কার জিতুন",1
"প্রজেক্ট রিপোর্ট পাঠান",0
"বিশেষ সুযোগ: শীঘ্রই শেষ হচ্ছে",1
"আমরা বিকালে দেখা করবো",0
"ফ্রি ট্রায়ালের জন্য রেজিস্টার করুন",1
"আপনি কি ফাইলটি সম্পাদনা করেছেন?",0
"আপনার জন্য রয়েছে এক্সক্লুসিভ গিফট",1
"পরবর্তী মিটিং কখন?",0
"আজই বিনামূল্যে একাউন্ট খুলুন",1
"আপনি কি এই টাস্কটি শেষ করতে পারবেন?",0
"জয় করুন আকর্ষণীয় পুরস্কার",1
"আপনার মতামত প্রয়োজন",0
"ফ্রি আপগ্রেড পাওয়ার জন্য এখানে ক্লিক করুন",1
"আমরা কি ফোনে কথা বলতে পারি?",0
"নতুন অফার: সীমিত সময়ের জন্য",1
"আপনার ফিডব্যাক শেয়ার করুন",0
"বিনামূল্যে কুপন পেতে এখনই সাইন আপ করুন",1
"আপনি কি আজ ফ্রি?",0
"ফ্রি গিফট নিশ্চিত করতে ক্লিক করুন",1
"আপনার টিমের অগ্রগতি কেমন?",0
"বিশেষ বোনাস: এখনই গ্রহণ করুন",1
"লাঞ্চে দেখা হবে",0
"আপনি নির্বাচিত হয়েছেন এক্সক্লুসিভ অফারের জন্য",1
"পরবর্তী সভার তারিখ কী?",0
"আজই ফ্রি ক্যাশব্যাক পান",1
"আমাদের প্রজেক্ট আপডেট দিন",0
"আপনার একাউন্ট ঝুঁকির মধ্যে আছে",1
"আপনি কি আগের রিপোর্ট দেখেছেন?",0
"বিনামূল্যে সদস্যতা চালু করুন",1
"আপনি কি আসতে পারবেন?",0
"নতুন ই-লার্নিং কোর্স পেয়ে যান",1
"আপনার মতামত জানান",0
"অভিনন্দন! আপনি স্পেশাল রিওয়ার্ড পেয়েছেন",1
"পরবর্তী মিটিং কোথায় হবে?",0
"আজই ফ্রি গিফট বক্স রিডিম করুন",1
"আপনার শিডিউল দিন",0
"বিশেষ অফার: ফ্রি ওয়েবিনার",1
"আপনি কি ফাইলটি আপডেট করেছেন?",0
"এক্সক্লুসিভ: শুধুমাত্র আপনাদের জন্য ফ্রি অফার",1
"আপনি কি লাঞ্চে যাবেন?",0
"ফ্রি ক্রেডিট সীমিত সময়ের জন্য",1
"আপনার কাজের অগ্রগতি কেমন?",0
"জয় করুন একটি নতুন স্মার্টফোন",1
"পরবর্তী মিটিংয়ের সময় কখন?",0
"আজই রেজিস্টার করুন এবং ফ্রি বোনাস নিন",1
"আপনি কি টিম মিটিংয়ে আসছেন?",0
"নতুন বোনাস পেতে আপনার অ্যাকাউন্ট যাচাই করুন",1
"আপনি কি প্রস্তুত আছেন?",0
"অভিনন্দন! আপনি ফ্রি ভাউচার পেয়েছেন",1
"আপনি কি আজ অফিসে আসবেন?",0
"এখনই ক্লিক করুন, বিশেষ পুরস্কার জিতুন",1
"আপনার রিপোর্ট আপডেট করুন",0
"বিশেষ অফার: দ্রুত অ্যাক্টিভেট করুন",1
"আমরা আগামীকাল দেখা করবো",0
"ফ্রি ট্রায়াল এখনই শুরু করুন",1
"আপনি কি ডকুমেন্ট পাঠিয়েছেন?",0
"আপনার জন্য ফ্রি গিফট রেডি",1
"পরবর্তী আলোচনা কখন?",0
"আজই ফ্রি একাউন্ট খুলুন",1
"আপনি কি টাস্কটি জমা দিয়েছেন?",0
"জয় করুন দারুণ পুরস্কার",1
"আপনার ফিডব্যাক পাঠান",0
"ফ্রি আপগ্রেড পেতে এখানে ক্লিক করুন",1
"আমরা কি ফোনে আলোচনা করতে পারি?",0
"নতুন অফার: সীমিত সময়ের জন্য উপলব্ধ",1
"আপনার মতামত দিন",0
"বিনামূল্যে কুপন পেতে এখনই যোগ দিন",1
"আপনি কি আজ ব্যস্ত?",0
"ফ্রি গিফট নিশ্চিত করতে ক্লিক করুন",1
"আপনার টিমের বর্তমান অবস্থা জানান",0
"বিশেষ বোনাস: এখন দাবি করুন",1
"লাঞ্চের সময় দেখা হবে",0
"আপনি নির্বাচিত হয়েছেন স্পেশাল অফারের জন্য",1
"পরবর্তী মিটিংয়ের তারিখ?",0
"আজই ফ্রি ক্যাশব্যাক সংগ্রহ করুন",1
"আমাদের প্রজেক্ট রিপোর্ট দিন",0
"আপনার একাউন্ট সুরক্ষিত নয়",1
"আপনি কি আগের মেইল পেয়েছেন?",0
"বিনামূল্যে মেম্বারশিপ চালু করুন",1
"আপনি কি আসতে পারবেন?",0
"নতুন ই-লার্নিং কোর্স পান",1
"আপনার মতামত শেয়ার করুন",0
"অভিনন্দন! আপনি নতুন রিওয়ার্ড পেয়েছেন",1
"পরবর্তী মিটিং কোথায়?",0
"আজই ফ্রি গিফট রিডিম করুন",1
"আপনার শিডিউল পাঠান",0
"বিশেষ অফার: ফ্রি ওয়েবিনার জয়েন করুন",1
"আপনি কি ডকুমেন্ট আপডেট করেছেন?",0
"শুধুমাত্র আপনাদের জন্য এক্সক্লুসিভ ফ্রি অফার",1
"আপনি কি টিম লাঞ্চে যাবেন?",0
"ফ্রি ক্রেডিট সীমিত সময়ে",1
"আপনার কর্মপরিকল্পনা দিন",0
"নতুন মোবাইল জিতুন আজই",1
"পরবর্তী সভার সময় কখন?",0
"আজই রেজিস্টার করুন, পেয়ে যান ফ্রি বোনাস",1
"আপনি কি টিম মিটিংয়ে অংশ নেবেন?",0
"নতুন বোনাস পেতে অ্যাকাউন্ট যাচাই করুন",1
"আপনি কি প্রস্তুত আছেন?",0
"অভিনন্দন! আপনি ফ্রি ক্যাশব্যাক পেয়েছেন",1
"আপনি কি আজকের সভায় যোগ দেবেন?",0
"বিনামূল্যে পুরস্কার পেতে এখানে ক্লিক করুন",1
"আপনার রিপোর্ট পাঠাতে ভুলবেন না",0
"বিশেষ অফার: দ্রুত ক্লেইম করুন",1
"আমরা আগামী সপ্তাহে দেখা করবো",0
"ফ্রি ট্রায়াল চালু করুন এখনই",1
"আপনি কি ডকুমেন্ট চেক করেছেন?",0
"আপনার জন্য ফ্রি উপহার",1
"পরবর্তী অ্যাপয়েন্টমেন্ট কখন?",0
"আজই ফ্রি একাউন্ট খুলুন",1
"আপনি কি টাস্কটি আপডেট করেছেন?",0
"জয় করুন আকর্ষণীয় রিওয়ার্ড",1
"আপনার ফিডব্যাক দিন",0
"ফ্রি আপগ্রেড পেতে এখানে ক্লিক করুন",1
